epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1102.85,0.76101,0.82223,1.14335,0.8744,0.80787,0.89661,0.67818,0.84642,0.7595,1.27734,0.00024774,0.00024774,0.00024774
43,1128.52,0.78917,0.81983,1.15427,0.86472,0.83393,0.89947,0.68222,0.85351,0.74733,1.26988,0.000243611,0.000243611,0.000243611
44,1154.49,0.76445,0.77939,1.13944,0.87188,0.80971,0.90111,0.68978,0.81574,0.73308,1.24622,0.000239483,0.000239483,0.000239483
45,1179.77,0.7692,0.78606,1.141,0.87704,0.83312,0.90255,0.68988,0.85677,0.7202,1.26009,0.000235355,0.000235355,0.000235355
46,1207.28,0.75803,0.78036,1.14282,0.87326,0.81374,0.89613,0.68466,0.84313,0.72632,1.2792,0.000231226,0.000231226,0.000231226
47,1233.52,0.75611,0.77564,1.13004,0.83882,0.86378,0.9069,0.69047,0.84792,0.7133,1.26199,0.000227098,0.000227098,0.000227098
48,1258.72,0.75405,0.79234,1.12789,0.86989,0.8461,0.91342,0.70054,0.8269,0.69031,1.24749,0.00022297,0.00022297,0.00022297
49,1284.48,0.74642,0.76835,1.12147,0.86327,0.80978,0.89678,0.68571,0.82404,0.72302,1.26963,0.000218842,0.000218842,0.000218842
50,1309.56,0.74098,0.75501,1.12255,0.86681,0.82851,0.90377,0.69236,0.84244,0.71472,1.25422,0.000214713,0.000214713,0.000214713
51,1334.6,0.73383,0.73025,1.11531,0.8403,0.83901,0.89742,0.68744,0.83985,0.75063,1.26584,0.000210585,0.000210585,0.000210585
52,1360.04,0.71611,0.71485,1.11002,0.88217,0.84072,0.90995,0.69738,0.8384,0.67727,1.26701,0.000206457,0.000206457,0.000206457
53,1385.09,0.71721,0.70863,1.11444,0.88959,0.84198,0.91257,0.69641,0.861,0.68645,1.27432,0.000202328,0.000202328,0.000202328
54,1411.66,0.71575,0.70067,1.10795,0.87171,0.85136,0.9144,0.70124,0.83113,0.67802,1.26751,0.0001982,0.0001982,0.0001982
55,1438,0.7198,0.71073,1.11091,0.88139,0.83662,0.90715,0.69744,0.83385,0.67388,1.25554,0.000194072,0.000194072,0.000194072
