epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,552.549,1.48789,1.01372,1.22636,0.82997,0.75246,0.80658,0.42108,1.8131,1.13556,1.41879,0.000660045,0.000660045,0.000660045
43,566.154,1.44059,0.98079,1.1945,0.82277,0.71788,0.77723,0.38624,1.77044,1.1128,1.41264,0.000649046,0.000649046,0.000649046
44,579.808,1.42377,0.95807,1.21803,0.83237,0.75736,0.81873,0.4202,1.73083,1.09815,1.41809,0.000638047,0.000638047,0.000638047
45,593.942,1.35776,0.92305,1.17219,0.77229,0.79082,0.81233,0.42812,1.79188,1.08613,1.45337,0.000627048,0.000627048,0.000627048
46,607.025,1.39923,0.92488,1.18263,0.78586,0.84378,0.83442,0.44002,1.7545,1.03797,1.43073,0.000616049,0.000616049,0.000616049
47,619.835,1.39142,0.92628,1.19428,0.8323,0.79096,0.83421,0.44082,1.7394,1.03498,1.41228,0.000605051,0.000605051,0.000605051
48,632.56,1.37775,0.89487,1.17308,0.8443,0.75134,0.82303,0.4601,1.72194,0.992,1.39872,0.000594052,0.000594052,0.000594052
49,645.425,1.37397,0.86456,1.165,0.84941,0.76779,0.82547,0.44186,1.72174,1.04957,1.37461,0.000583053,0.000583053,0.000583053
50,658.18,1.37092,0.90853,1.16739,0.82628,0.78165,0.82695,0.42881,1.77184,1.04299,1.43282,0.000572054,0.000572054,0.000572054
51,671.029,1.41694,0.94164,1.18566,0.79459,0.79238,0.81577,0.43998,1.70954,1.02459,1.382,0.000561055,0.000561055,0.000561055
52,683.825,1.35186,0.88168,1.15067,0.81397,0.78266,0.83457,0.43899,1.72199,1.00788,1.38337,0.000550056,0.000550056,0.000550056
53,696.701,1.34726,0.85713,1.15709,0.80688,0.77715,0.83841,0.43794,1.70231,1.02265,1.39835,0.000539057,0.000539057,0.000539057
54,709.541,1.35296,0.86493,1.15155,0.83671,0.81242,0.86401,0.45795,1.67613,0.9625,1.35543,0.000528058,0.000528058,0.000528058
55,722.501,1.32009,0.82345,1.14752,0.82901,0.70505,0.81697,0.44456,1.70316,1.02292,1.37302,0.000517059,0.000517059,0.000517059
56,735.404,1.32189,0.82567,1.15519,0.82884,0.75024,0.82959,0.42708,1.72929,1.05699,1.39846,0.00050606,0.00050606,0.00050606
57,748.197,1.28284,0.81009,1.13191,0.801,0.82133,0.84936,0.4531,1.72268,0.99363,1.37804,0.000495062,0.000495062,0.000495062
58,760.989,1.30198,0.8425,1.12321,0.81195,0.78688,0.82904,0.45465,1.6903,0.96824,1.39062,0.000484063,0.000484063,0.000484063
59,773.744,1.30205,0.8332,1.13558,0.83337,0.78004,0.85019,0.46027,1.72302,0.97575,1.40918,0.000473064,0.000473064,0.000473064
60,786.732,1.33889,0.86491,1.14053,0.82186,0.80824,0.82873,0.44731,1.69315,0.99121,1.38173,0.000462065,0.000462065,0.000462065
61,799.582,1.27449,0.79913,1.12347,0.83506,0.80349,0.83429,0.44729,1.71926,0.95356,1.40866,0.000451066,0.000451066,0.000451066
62,812.421,1.2502,0.77517,1.1163,0.86685,0.82935,0.86182,0.45907,1.73061,0.93408,1.40736,0.000440067,0.000440067,0.000440067
63,825.305,1.26656,0.81417,1.12158,0.84851,0.76844,0.85679,0.47147,1.73685,0.94293,1.39757,0.000429068,0.000429068,0.000429068
64,837.809,1.2671,0.79796,1.12338,0.84409,0.84374,0.87178,0.47307,1.73618,0.92621,1.40628,0.000418069,0.000418069,0.000418069
65,850.311,1.25357,0.78287,1.11961,0.82257,0.78819,0.82564,0.45929,1.73307,0.92884,1.41482,0.00040707,0.00040707,0.00040707
66,862.673,1.26202,0.75406,1.10873,0.84257,0.8059,0.86949,0.4684,1.72989,0.9264,1.41827,0.000396071,0.000396071,0.000396071
67,875.107,1.2401,0.79092,1.10278,0.84804,0.79909,0.85461,0.46524,1.69452,0.91728,1.39106,0.000385073,0.000385073,0.000385073
68,887.612,1.25108,0.7495,1.10969,0.83068,0.85855,0.86131,0.45089,1.77328,0.93,1.44675,0.000374074,0.000374074,0.000374074
69,900.115,1.2374,0.75482,1.11125,0.87935,0.84367,0.87103,0.48275,1.72036,0.88193,1.41164,0.000363075,0.000363075,0.000363075
70,912.546,1.22094,0.76384,1.0979,0.86217,0.79013,0.86056,0.47101,1.73257,0.90551,1.40466,0.000352076,0.000352076,0.000352076
71,925.018,1.17604,0.72172,1.08253,0.8438,0.76823,0.85037,0.45891,1.67972,0.90395,1.38365,0.000341077,0.000341077,0.000341077
72,937.503,1.23045,0.75312,1.07489,0.83358,0.78374,0.8293,0.4564,1.71404,0.89955,1.40163,0.000330078,0.000330078,0.000330078
73,949.975,1.18947,0.71046,1.09217,0.84623,0.84843,0.87042,0.46079,1.72362,0.89434,1.41313,0.000319079,0.000319079,0.000319079
74,962.444,1.18893,0.70225,1.08094,0.83388,0.79916,0.84715,0.4571,1.69687,0.87453,1.39605,0.00030808,0.00030808,0.00030808
75,975.058,1.16431,0.70332,1.06612,0.81284,0.81729,0.83938,0.45278,1.6939,0.87545,1.38625,0.000297081,0.000297081,0.000297081
76,987.528,1.19917,0.73062,1.07594,0.82552,0.87945,0.8672,0.46426,1.68404,0.88669,1.40142,0.000286083,0.000286083,0.000286083
77,1000.2,1.1746,0.716,1.06928,0.81914,0.84925,0.87294,0.48002,1.69323,0.86662,1.41005,0.000275084,0.000275084,0.000275084
78,1013.09,1.10435,0.67913,1.04762,0.80023,0.86674,0.86207,0.46316,1.70555,0.863,1.41156,0.000264085,0.000264085,0.000264085
79,1025.94,1.16379,0.68463,1.05752,0.85958,0.80289,0.85389,0.47099,1.68938,0.88315,1.40834,0.000253086,0.000253086,0.000253086
80,1039.01,1.15535,0.68552,1.06754,0.8781,0.81263,0.86645,0.47064,1.72067,0.87627,1.41584,0.000242087,0.000242087,0.000242087
81,1052.06,1.11392,0.67362,1.04277,0.79087,0.87966,0.86433,0.48246,1.70075,0.86728,1.38649,0.000231088,0.000231088,0.000231088
82,1065.48,1.1389,0.68029,1.05042,0.848,0.87961,0.88493,0.47662,1.71632,0.86195,1.408,0.000220089,0.000220089,0.000220089
83,1079.23,1.11516,0.66341,1.04224,0.83987,0.89314,0.88868,0.47808,1.68247,0.8287,1.38355,0.00020909,0.00020909,0.00020909
84,1092.82,1.08493,0.66195,1.02987,0.88704,0.7943,0.87728,0.48674,1.64945,0.82363,1.37584,0.000198091,0.000198091,0.000198091
85,1106.58,1.11735,0.67993,1.04474,0.8688,0.83909,0.87341,0.48109,1.69001,0.85256,1.4011,0.000187092,0.000187092,0.000187092
86,1120.21,1.10021,0.64991,1.04274,0.88242,0.84959,0.88418,0.48212,1.67896,0.84002,1.38362,0.000176094,0.000176094,0.000176094
