epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1059.99,0.78518,0.83804,1.14204,0.87644,0.83405,0.9021,0.68997,0.84317,0.73418,1.2534,0.00024774,0.00024774,0.00024774
43,1083.74,0.77136,0.81088,1.13589,0.86012,0.83923,0.9052,0.68939,0.85445,0.73181,1.25416,0.000243611,0.000243611,0.000243611
44,1108.21,0.74929,0.77528,1.13151,0.87859,0.85342,0.91077,0.69823,0.84244,0.70229,1.24485,0.000239483,0.000239483,0.000239483
45,1132.66,0.77091,0.77416,1.13705,0.8426,0.84481,0.90021,0.69122,0.83971,0.73983,1.2508,0.000235355,0.000235355,0.000235355
46,1159.25,0.75617,0.76737,1.12707,0.86466,0.81287,0.89444,0.68372,0.84593,0.76925,1.26275,0.000231226,0.000231226,0.000231226
47,1183.53,0.74922,0.78061,1.13009,0.8788,0.83291,0.90876,0.70111,0.83644,0.71788,1.24063,0.000227098,0.000227098,0.000227098
48,1207.81,0.76259,0.7878,1.13622,0.89644,0.8449,0.9172,0.70173,0.85638,0.68743,1.25225,0.00022297,0.00022297,0.00022297
49,1232.33,0.75681,0.75897,1.13088,0.86932,0.84923,0.91701,0.70653,0.84641,0.69743,1.23727,0.000218842,0.000218842,0.000218842
50,1256.51,0.74206,0.73561,1.11443,0.87692,0.86011,0.91497,0.70247,0.85395,0.68136,1.24692,0.000214713,0.000214713,0.000214713
51,1281.18,0.73495,0.72305,1.11361,0.87863,0.83881,0.91036,0.70508,0.8244,0.69631,1.24106,0.000210585,0.000210585,0.000210585
52,1307.67,0.73731,0.71928,1.11287,0.88423,0.83921,0.90946,0.70143,0.82318,0.67697,1.24399,0.000206457,0.000206457,0.000206457
53,1331.86,0.73332,0.72543,1.11565,0.86056,0.84697,0.90858,0.70294,0.84301,0.70608,1.24782,0.000202328,0.000202328,0.000202328
54,1355.7,0.71999,0.72847,1.11067,0.87531,0.8329,0.91459,0.70339,0.83402,0.67793,1.25105,0.0001982,0.0001982,0.0001982
55,1379.74,0.71098,0.69123,1.09962,0.87343,0.85101,0.91838,0.7086,0.82623,0.65857,1.24813,0.000194072,0.000194072,0.000194072
56,1403.58,0.70718,0.69003,1.09827,0.90213,0.84597,0.91397,0.70481,0.83577,0.6642,1.25246,0.000189943,0.000189943,0.000189943
57,1429.78,0.6901,0.69275,1.09006,0.87232,0.86403,0.91459,0.7016,0.84696,0.66032,1.26609,0.000185815,0.000185815,0.000185815
58,1454.24,0.70205,0.69234,1.10147,0.87286,0.86044,0.91369,0.70353,0.84279,0.66286,1.25363,0.000181687,0.000181687,0.000181687
59,1478.06,0.70378,0.67901,1.0937,0.8783,0.86091,0.9151,0.70066,0.83457,0.65175,1.25692,0.000177559,0.000177559,0.000177559
60,1502.01,0.69747,0.67406,1.08889,0.88762,0.83582,0.91325,0.70237,0.83565,0.66301,1.25128,0.00017343,0.00017343,0.00017343
61,1525.92,0.69306,0.67853,1.09189,0.85892,0.8581,0.91178,0.70509,0.82677,0.66655,1.25236,0.000169302,0.000169302,0.000169302
62,1550.5,0.68883,0.64602,1.09005,0.88975,0.83329,0.91374,0.70105,0.83966,0.66629,1.25453,0.000165174,0.000165174,0.000165174
63,1577.21,0.68244,0.67494,1.09131,0.85977,0.85614,0.91456,0.69656,0.85476,0.67886,1.26089,0.000161045,0.000161045,0.000161045
64,1601.48,0.66954,0.6536,1.08245,0.86105,0.85683,0.91847,0.70875,0.83947,0.66231,1.26416,0.000156917,0.000156917,0.000156917
65,1625.56,0.68028,0.66209,1.08575,0.8637,0.86046,0.91329,0.6972,0.86213,0.67116,1.26827,0.000152789,0.000152789,0.000152789
66,1649.72,0.66214,0.63345,1.07647,0.88972,0.84611,0.91406,0.70696,0.82911,0.64494,1.25089,0.00014866,0.00014866,0.00014866
67,1673.74,0.67521,0.64103,1.08024,0.88401,0.83993,0.9097,0.69955,0.84286,0.66449,1.25862,0.000144532,0.000144532,0.000144532
68,1697.88,0.66797,0.61189,1.08138,0.86551,0.86129,0.91741,0.70211,0.85206,0.64172,1.26322,0.000140404,0.000140404,0.000140404
69,1724.39,0.66062,0.64385,1.07459,0.85162,0.87642,0.91966,0.71151,0.82622,0.63924,1.24938,0.000136276,0.000136276,0.000136276
70,1749.01,0.66702,0.63334,1.0905,0.8703,0.87573,0.92259,0.71365,0.82367,0.63146,1.2468,0.000132147,0.000132147,0.000132147
71,1773.27,0.65202,0.6116,1.07352,0.88532,0.85083,0.91949,0.70524,0.84996,0.6493,1.26633,0.000128019,0.000128019,0.000128019
72,1797.87,0.6565,0.61929,1.06802,0.86961,0.87776,0.92007,0.7143,0.82492,0.62876,1.2454,0.000123891,0.000123891,0.000123891
73,1821.95,0.63804,0.60319,1.06053,0.85516,0.86665,0.91987,0.71311,0.82706,0.64065,1.25141,0.000119762,0.000119762,0.000119762
74,1846.58,0.64575,0.61807,1.06872,0.87746,0.84874,0.91178,0.70308,0.82946,0.64564,1.25976,0.000115634,0.000115634,0.000115634
75,1873.5,0.63711,0.60837,1.06096,0.89746,0.84346,0.91878,0.71299,0.8336,0.63687,1.25983,0.000111506,0.000111506,0.000111506
76,1899.16,0.64685,0.59654,1.07582,0.88287,0.85832,0.91795,0.72029,0.81366,0.61856,1.2551,0.000107378,0.000107378,0.000107378
77,1923.12,0.62253,0.58178,1.0596,0.88315,0.85337,0.91873,0.71267,0.82593,0.63072,1.25408,0.000103249,0.000103249,0.000103249
78,1947.08,0.62316,0.57985,1.05741,0.90945,0.83611,0.91855,0.71242,0.83794,0.62677,1.26113,9.91209e-05,9.91209e-05,9.91209e-05
79,1971.09,0.62812,0.60028,1.06513,0.87491,0.85774,0.91715,0.71507,0.82124,0.63022,1.25246,9.49926e-05,9.49926e-05,9.49926e-05
80,1994.91,0.63636,0.58923,1.07234,0.89408,0.8475,0.92024,0.71873,0.81518,0.62798,1.25321,9.08643e-05,9.08643e-05,9.08643e-05
81,2021.19,0.61064,0.58011,1.04971,0.89666,0.86698,0.92372,0.71536,0.84021,0.61328,1.26645,8.6736e-05,8.6736e-05,8.6736e-05
82,2045.87,0.61999,0.579,1.05863,0.90571,0.86056,0.92212,0.72066,0.80994,0.61133,1.2488,8.26077e-05,8.26077e-05,8.26077e-05
83,2070.38,0.6136,0.56772,1.05259,0.90324,0.86608,0.92599,0.71511,0.83882,0.60553,1.26373,7.84794e-05,7.84794e-05,7.84794e-05
84,2094.89,0.60097,0.55535,1.04715,0.89001,0.88121,0.92618,0.71805,0.82145,0.59959,1.25347,7.43511e-05,7.43511e-05,7.43511e-05
85,2119.08,0.59367,0.55248,1.04714,0.89339,0.86534,0.92443,0.71289,0.83182,0.60567,1.26132,7.02228e-05,7.02228e-05,7.02228e-05
86,2145.42,0.60277,0.56136,1.04732,0.89426,0.86312,0.92367,0.71496,0.82403,0.60763,1.25605,6.60945e-05,6.60945e-05,6.60945e-05
87,2170.07,0.59828,0.54554,1.04503,0.90264,0.85009,0.92531,0.71772,0.82419,0.60843,1.2565,6.19662e-05,6.19662e-05,6.19662e-05
88,2194.84,0.59904,0.54976,1.04175,0.91622,0.852,0.92842,0.71722,0.83491,0.6015,1.26659,5.78379e-05,5.78379e-05,5.78379e-05
89,2218.59,0.59158,0.54729,1.04021,0.88897,0.87125,0.9277,0.71881,0.83599,0.60651,1.2678,5.37096e-05,5.37096e-05,5.37096e-05
90,2242.19,0.58664,0.54634,1.04063,0.89765,0.85688,0.92274,0.71418,0.82843,0.60967,1.25808,4.95813e-05,4.95813e-05,4.95813e-05
91,2267.55,0.4428,0.33418,0.96398,0.87193,0.87156,0.9211,0.71444,0.82498,0.62764,1.27666,4.5453e-05,4.5453e-05,4.5453e-05
92,2293.74,0.42151,0.30365,0.9418,0.88212,0.85402,0.91678,0.71052,0.82926,0.6425,1.27907,4.13247e-05,4.13247e-05,4.13247e-05
93,2317.39,0.42108,0.29573,0.93548,0.88226,0.86077,0.91687,0.7107,0.83159,0.63539,1.28334,3.71964e-05,3.71964e-05,3.71964e-05
94,2341.31,0.40714,0.28626,0.9305,0.90281,0.84261,0.91856,0.71506,0.82501,0.61743,1.28062,3.30681e-05,3.30681e-05,3.30681e-05
95,2365.01,0.40417,0.28813,0.9386,0.8809,0.87035,0.92028,0.71329,0.8291,0.61452,1.27722,2.89398e-05,2.89398e-05,2.89398e-05
96,2388.55,0.40604,0.27901,0.93038,0.91019,0.84522,0.92318,0.71713,0.82277,0.60745,1.27409,2.48115e-05,2.48115e-05,2.48115e-05
97,2412.14,0.39206,0.27674,0.91816,0.89777,0.85245,0.9219,0.71891,0.81549,0.61053,1.274,2.06832e-05,2.06832e-05,2.06832e-05
98,2438.29,0.39246,0.27374,0.92431,0.88978,0.85951,0.92363,0.71663,0.81861,0.60757,1.27569,1.65549e-05,1.65549e-05,1.65549e-05
99,2462.15,0.38373,0.27126,0.91152,0.90069,0.85565,0.92292,0.71691,0.81818,0.60558,1.27716,1.24266e-05,1.24266e-05,1.24266e-05
100,2486.21,0.39157,0.27209,0.92142,0.89566,0.85762,0.92363,0.71833,0.81888,0.60584,1.27883,8.2983e-06,8.2983e-06,8.2983e-06
